,AEW541,AEW541_IC_50,Nilotinib,Nilotinib_IC_50,17-AAG,17-AAG_IC_50,PHA-665752,PHA-665752_IC_50,Lapatinib,Lapatinib_IC_50,Nutlin-3,Nutlin-3_IC_50,AZD0530,AZD0530_IC_50,PF2341066,PF2341066_IC_50,L-685458,L-685458_IC_50,ZD-6474,ZD-6474_IC_50,Panobinostat,Panobinostat_IC_50,Sorafenib,Sorafenib_IC_50,Irinotecan,Irinotecan_IC_50,Topotecan,Topotecan_IC_50,LBW242,LBW242_IC_50,PD-0325901,PD-0325901_IC_50,PD-0332991,PD-0332991_IC_50,Paclitaxel,Paclitaxel_IC_50,AZD6244,AZD6244_IC_50,PLX4720,PLX4720_IC_50,RAF265,RAF265_IC_50,TAE684,TAE684_IC_50,TKI258,TKI258_IC_50,Erlotinib,Erlotinib_IC_50
TYKNU_OVARY,1.0867,3.556990862,0.1484,8,3.7232,0.085773639,0.08034,8,0.5639,5.343410969,0,8,0.8178,7.217175961,0.7577,5.550395966,0.1057,8,1.2291,6.369338036,4.6765,0.036695912,0.5322,7.718305111,3.7963,0.091407262,3.4346,0.118190408,1.2606,8,1.6836,3.710018873,0.4732,8,5.115,0.002542614,0.6276,8,0.1161,8,1.3677,8,1.0603,2.630714178,0.6974,6.194393635,0.2076,8
EFM19_BREAST,0.7541,8,0.3452,8,3.5096,0.058103666,0.7263,7.446472168,0.7549,8,0.3282,8,1.2611,5.352694511,0.6233,7.653485775,0.2789,8,0.9214,4.354252338,4.9716,0.028204657,0.3749,8,2.2524,0.922290325,1.9984,1.288745522,2.7017,0.328014374,0.09919,8,0.6936,8,5.55,0.009098331,0.0802,8,0,8,1.4292,2.197538853,1.2299,8,0.7954,8,0.09867,8
MELHO_SKIN,1.3099,5.168223858,0.654,7.266346931,2.0796,8,0.01668,8,0.6978,6.552443981,0.2398,8,0.9185,8,0.868,7.153927326,0.1198,8,1.7294,5.166874409,5.0633,0.031638116,0.7755,6.380600452,3.5391,0.282565325,2.6133,1.003030896,0.4954,8,5.1399,0.01382275,0.2735,8,4.24,0.013635262,3.391,0.10809873,2.9418,0.312976211,2.1681,1.183477879,1.4747,5.398359776,0.9921,5.802984715,0.49,8
G361_SKIN,1.7872,3.611555099,0.5674,8,3.2302,0.089309976,0.6601,5.691830158,1.2718,3.047757149,0.6556,8,0.7462,6.914599895,0.7552,4.238430023,0.4818,8,1.0411,5.999411583,5.3635,0.021113275,0.8658,4.969456196,3.2033,0.222893253,2.9272,0.447601497,0.5463,8,4.4245,0.024077827,0.6448,8,6.0134,0.005752318,2.7378,0.419003129,1.8445,1.286707997,2.7873,0.565265238,1.2092,4.944403648,1.6598,2.60417676,0.996,4.410532475
NCIH647_LUNG,0.3716,8,0.5991,8,3.1829,0.146558329,0.5762,8,0.2396,8,0.3702,8,1.452,3.184889317,0,8,0.4379,8,1.1171,8,2.9629,0.330431819,0.8969,8,NA,NA,1.1787,6.831822395,0.6297,8,0.8152,8,0.5271,8,4.6377,0.009898632,0.3915,8,0.3382,8,0.23,8,0.1524,8,0.1195,8,0.2912,8
GMS10_CENTRAL_NERVOUS_SYSTEM,0.5312,8,0,8,3.1344,0.245301753,0.4683,8,0.004152,8,0.08879,8,0.7487,8,0.2727,8,0,8,0.9848,8,3.4086,0.205300882,0.1598,8,1.5352,2.797261953,1.297,4.470766544,0.6135,8,0.624,8,0.1815,8,5.0009,0.010238567,0.2219,8,0.06015,8,1.283,5.228353977,0.6572,6.281594753,0.4925,8,0.1201,8
KCIMOH1_PANCREAS,1.5452,1.767559767,NA,NA,3.5166,0.136119515,1.0567,8,0.8691,5.619114399,0.6655,8,1.8387,3.24185276,1.1086,5.252182007,0.4722,8,0.6822,8,4.3288,0.070594683,0.6298,8,NA,NA,2.7719,2.067111015,0.7099,8,2.7281,0.392702222,NA,NA,4.3827,0.002542614,1.938,1.945320606,0.06695,8,NA,NA,2.1776,1.570543408,1.29,3.772315979,1.3204,1.730164289
HCC44_LUNG,0.9276,6.621147633,NA,NA,4.7402,0.065585621,1.1856,8,0.1527,8,0.09813,8,0.4591,8,0.2043,8,0.4521,8,0.9367,8,4.1851,0.068865888,0.5025,8,NA,NA,2.2173,1.264467955,2.3407,1.486206293,1.5458,3.420663357,NA,NA,5.8639,0.011513388,0.7028,8,0.5668,8,1.5482,3.138940334,1.0325,5.976231575,0.3747,8,0.1511,8
KYSE70_OESOPHAGUS,2.1382,1.257513762,NA,NA,4.2296,0.060356256,0.7026,8,1.3543,8,0.7199,8,1.6009,8,0.6366,8,NA,NA,1.4575,3.486875296,4.5453,0.049667668,0.6312,8,NA,NA,3.081,1.593729496,0.5985,8,2.7093,0.640863359,NA,NA,5.5901,0.007472156,1.3876,8,0.7607,8,NA,NA,1.3801,3.304603577,1.5309,2.024621725,1.3994,2.744313717
GAMG_CENTRAL_NERVOUS_SYSTEM,0.4895,8,NA,NA,3.711,0.109149978,0.5998,8,0,8,0.332,8,0.2102,8,0.07498,8,0,8,0.4886,8,3.8201,0.139264673,0.1068,8,NA,NA,1.2313,2.934370756,0.5262,8,0.3018,8,NA,NA,5.015,0.017000178,0.2266,8,0.154,8,NA,NA,0.1636,8,0.445,8,0.1358,8
NCIH522_LUNG,0.6383,8,0.4237,8,3.5106,0.079639822,0.1305,8,0.7621,8,0.4385,8,0.8378,8,0.5612,8,0.08763,8,0.9695,8,4.0878,0.083385691,0.5832,8,2.9178,0.791150272,1.9146,3.539058924,0.5374,8,0.8364,8,0.1026,8,5.4331,0.011133007,0.3785,8,0,8,1.1235,8,1.397,8,0.6619,8,0.4055,8
EN_ENDOMETRIUM,0.6604,8,0.1392,8,2.6637,8,0.08131,8,0.4058,8,0.146,8,0.6256,8,0.4521,8,0.02041,8,0.4015,8,3.5731,0.067769207,0.3369,8,0.9262,4.784356117,0.741,8,0,8,0.557,8,0.03136,8,4.0051,0.00999075,0.2629,8,0,8,0.5043,8,0.698,8,0.4259,8,0,8
PK59_PANCREAS,0.8059,6.614031792,0.3275,8,3.0683,0.199349344,0,8,0.5183,6.190493584,0,8,0.8084,8,0.494,6.398169518,0.2201,8,0.4785,8,3.8702,0.13488102,0.3679,8,2.1066,1.561426044,2.2588,1.728012681,0.1425,8,2.4655,0.490049899,0.4778,8,4.3007,0.018169707,1.0042,8,0.01353,8,1.4062,3.104699612,1.2743,2.641932249,0.6624,8,0.2714,8
COLO741_SKIN,1.4813,3.343924522,NA,NA,3.2321,1.479850173,0.7811,8,0.3423,8,0.8776,8,0.4347,8,0.5903,8,0.8445,8,0.7398,8,3.9221,0.109763704,0.2976,8,NA,NA,3.1862,0.492934048,2.4895,8,2.757,0.217735618,NA,NA,5.4766,0.020055767,2.4876,2.675052404,1.3751,4.03970623,NA,NA,1.3744,8,1.2564,5.688858032,0.9611,7.229937077
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.389,4.04467392,NA,NA,3.7408,0.1518711,0.6999,8,0.6625,7.012477875,0.3302,8,0.5385,8,0.8361,4.283397675,NA,NA,0.3995,8,4.3193,0.075853355,0.9484,7.934947491,NA,NA,5.7676,0.028245414,0.4014,8,4.6897,0.022050716,NA,NA,6.7594,0.0025,2.7557,0.312553406,0.7874,6.105682373,NA,NA,1.4183,2.796273947,1.2701,2.685056925,0.8709,4.557374477
NCIH661_LUNG,1.0875,1.165132165,0.5492,8,1.1851,8,0.6622,8,0.3394,8,0.07728,8,0.5857,8,0.7048,8,0.1818,3.459185839,1.225,8,5.3017,0.002623093,0.1372,8,2.6998,0.458387136,0.9602,8,0.5897,8,0.2089,8,0.08016,8,2.5108,0.063754819,0.1862,8,0.3142,8,0.6757,8,0.8723,8,0.2489,8,0.09786,8
LS411N_LARGE_INTESTINE,1.3972,2.996136665,NA,NA,4.496,0.081793495,0.8759,8,0.04328,8,0.0771,8,0.2772,8,0.3309,8,0.8172,8,0.6636,8,4.8202,0.035915688,0.1615,8,NA,NA,3.1476,0.46733886,1.1581,8,4.9922,0.013036346,NA,NA,5.834,0.002590775,4.2582,0.139588103,2.1759,0.925284624,1.4663,1.90278995,1.4321,2.61978507,0.6282,7.332954884,0.3804,8
HCC78_LUNG,0.3367,8,0.01119,8,1.8194,0.80337292,0.7086,8,0.07474,8,0.0682,8,0.3899,8,0.5792,8,0,8,0.5071,8,3.9946,0.096388273,0,8,NA,NA,4.1192,0.137572125,0.3811,8,0.3694,8,0.1592,8,3.5376,0.052693762,0.1545,8,0.2376,8,0.1753,8,0.8875,8,0.2193,8,0.02019,8
YKG1_CENTRAL_NERVOUS_SYSTEM,0.5376,8,0.4998,7.677743435,2.8308,0.214574531,0.0179,8,0,8,0.1102,8,1.6499,8,0.5306,8,0.5167,8,0.4073,8,4.1169,0.07288567,0.2007,8,1.8817,1.712632179,1.3881,6.475791931,0.5146,8,0.8524,8,0.672,7.338364124,5.5701,0.010191021,0.8278,8,0.241,8,NA,NA,0.7847,6.361808777,0.6228,8,0.07841,8
ESS1_ENDOMETRIUM,1.5524,3.300646305,NA,NA,3.4977,0.11770121,2.2772,8,1.2909,4.373962402,0.7388,8,1.8504,8,1.3171,8,NA,NA,1.3919,8,4.7936,0.049688272,0.4498,8,NA,NA,6.209,0.012411577,4.4022,0.100374572,0.9489,8,NA,NA,6.5069,0.007594008,0.5129,8,0.8378,8,NA,NA,1.9378,2.685304403,1.7331,1.98568821,0.6877,8
TE11_OESOPHAGUS,1.7103,2.821646214,NA,NA,3.3987,0.172436342,0.7925,0.031037039,2.2305,0.637750149,1.2078,0.006018947,1.9288,1.533730626,0.9517,7.283445358,NA,NA,NA,NA,3.5976,0.163779333,0.5301,8,NA,NA,4.7553,0.07252492,0.7138,8,1.4826,3.257377863,NA,NA,7.3115,0.002542614,0.3205,8,NA,NA,NA,NA,1.9404,2.809319735,1.6287,1.533282995,2.0088,0.987239659
HEC1A_ENDOMETRIUM,0.8549,8,0.7392,6.968556881,2.8197,0.155032128,0,8,0.1152,8,0.3542,8,1.6748,7.070782185,0.2774,8,0.02586,8,0.4923,8,4.8108,0.046715498,0.6987,8,NA,NA,2.287,1.210060835,0.7562,8,1.652,8,0.4081,8,4.9047,0.006034548,1.0471,8,0.2945,8,1.6598,2.656991482,0.614,8,0.8994,8,0.1217,8
TE1_OESOPHAGUS,0.8829,6.1320014,NA,NA,3.9523,0.074513651,0.6178,8,0.7076,8,0.4281,8,1.0441,7.190616608,0.4085,8,0.08494,8,0.756,8,5.0321,0.02908108,0.2454,8,NA,NA,2.8467,1.015714407,0.533,8,1.0105,8,NA,NA,4.1517,0.017809903,1.114,8,0.3786,8,NA,NA,1.3627,4.546535969,0.7009,8,0.8417,7.821309566
JHUEM2_ENDOMETRIUM,0.4333,8,NA,NA,4.8857,0.04826415,0.4778,8,0.1097,8,0.9028,7.958385944,0.5545,8,1.1936,5.191458702,0.5642,8,1.6028,3.098505497,5.1923,0.019797415,0.4216,8,NA,NA,4.3234,0.083270483,0.5591,8,0.8896,5.034770489,NA,NA,6.1947,0.00658232,0.1476,8,0.5751,8,NA,NA,1.377,4.083443642,1.4968,3.210728407,0.1292,8
TE5_OESOPHAGUS,0.4191,8,NA,NA,3.0955,0.350542456,0.3795,8,0.486,8,0.3958,8,0.5912,8,0.2186,8,0,8,0.6572,8,3.463,0.170709983,0.2589,8,NA,NA,3.692,0.172550276,0.7896,8,0.753,8,NA,NA,5.4258,0.012177017,0.6396,8,0.06209,8,NA,NA,0.2672,8,0.4487,8,0.23,8
KELLY_AUTONOMIC_GANGLIA,0.7389,8,NA,NA,2.0176,2.224541187,0.4493,8,0.1516,8,0.203,8,0.499,8,0.7127,2.175132335,0.03601,8,0.5221,8,4.6979,0.038800325,0.4258,8,NA,NA,3.7898,0.146283925,0.1127,8,0.9878,8,NA,NA,4.7326,0.085465863,0.4287,8,0.2889,8,NA,NA,1.6594,3.479384422,0.4625,8,0.2575,8
NCIH1155_LUNG,0.7336,7.266235352,NA,NA,3.8781,0.117387019,0.3567,8,0.3304,8,0.5254,8,1.4315,8,1.1355,2.580640793,0.6582,8,0.6619,8,4.6853,0.04550362,0.4457,8,NA,NA,4.8723,0.052346837,1.0831,8,0.8311,8,NA,NA,5.3744,0.040493838,0.1612,8,0.581,8,NA,NA,1.5621,0.314884716,1.299,3.734721422,0.6025,8
TE15_OESOPHAGUS,1.4669,2.591048241,NA,NA,4.0282,0.103201464,1.7902,8,1.4963,1.285878181,0.8088,8,2.4415,1.926496029,0.429,8,1.6058,2.56698287,2.5189,0.918501139,4.4379,0.040081043,0.4139,8,NA,NA,3.6344,0.337968081,1.8206,0.197750282,2.8683,0.129075423,NA,NA,6.4203,0.005525481,2.7173,0.953287825,1.5586,8,NA,NA,0.8225,7.962886668,1.5784,1.58294487,1.677,0.877725303
NCIH1703_LUNG,0.7496,8,NA,NA,4.6215,0.039121125,1.254,8,0.3413,8,1.1218,8,1.9617,3.372866869,0.815,8,0.689,8,2.1679,1.701827049,3.2273,0.216182515,1.7395,1.57709527,NA,NA,3.4943,0.653529227,1.6718,8,0.92,8,NA,NA,6.0885,0.016077645,0.6057,8,0.9735,8,NA,NA,1.7164,6.670969963,1.7113,1.666052461,0.5767,8
QGP1_PANCREAS,1.5339,2.374111414,NA,NA,3.341,0.141021386,0.9048,8,0.4053,8,0.3865,8,0.6628,8,0.3333,8,0.243,8,0.2302,8,4.2756,0.053981736,0.5314,8,NA,NA,1.2569,8,0.7079,8,3.7813,0.085503943,NA,NA,5.2985,0.002542614,3.5502,0.078835241,0.6036,8,NA,NA,1.2875,2.061149836,1.0263,8,0.7446,8
DETROIT562_UPPER_AERODIGESTIVE_TRACT,0.3942,8,0.5156,8,2.8606,0.238989621,0.8825,8,0.432,8,0.6081,8,1.1993,2.906109095,0.1087,8,0.1327,8,1.5655,3.115353346,3.7515,0.095216811,0.08576,8,NA,NA,1.4964,2.941049814,0.8633,8,1.2996,8,0.9828,3.174485207,5.6996,0.013300325,1.0097,8,0.1153,8,0.6876,6.785070896,0.5406,8,0.2191,8,0.8498,8
BT474_BREAST,0.7015,8,0.5231,6.892540932,3.7846,0.044726733,0.4139,6.84863472,3.3811,0.116183236,0.2468,8,0.8074,3.093749285,0.2296,8,0.7397,4.468088627,0.5179,8,5.1333,0.019058252,0.8083,6.462950706,NA,NA,0.1767,8,0.1639,8,0.5865,8,1.0329,8,3.3674,0.016556622,0.1287,8,0.1735,8,0.6517,8,0.3988,8,0.3351,8,0.3156,8
ACHN_KIDNEY,0.6207,7.67290926,NA,NA,2.0636,0.678260922,0.1702,8,0.8437,8,0.4761,8,1.2189,4.372954369,0.4836,8,0,8,1.8791,1.943827033,4.5464,0.045732774,0.6473,8,NA,NA,3.7264,0.102092952,0.4928,8,1.2671,8,NA,NA,3.9915,0.095161244,0.6881,8,0.3817,8,2.388,0.31764549,0.9626,2.960450411,0.95,5.099846363,1.2474,4.997091293
NCIH1581_LUNG,0.3412,8,0.7787,8,2.4837,0.605425537,0.5504,8,0.3271,8,0.1988,8,0.5944,8,0.6256,8,0.2333,8,0.8635,8,4.8627,0.045961671,0.106,8,NA,NA,2.8858,0.752945065,0.7831,8,1.7867,8,0.7369,8,5.8733,0.009297123,1.2459,8,0.01726,8,0.665,2.617692771,0.6507,8,0.9622,1.223131864,0.04829,8
SCABER_URINARY_TRACT,1.0551,8,0.196,8,3.4438,0.077901043,0.1211,8,1.7113,1.511765718,0.272,8,1.6172,1.242898583,0.3951,4.556394577,0.07285,8,1.8441,1.016510487,4.1539,0.03209829,0.6011,8,2.5283,0.253975421,2.157,0.769597352,1.2494,1.282762289,2.4202,1.84317863,0.6056,8,6.5622,0.002542614,1.7235,8,0.2984,8,1.258,1.022791624,1.2242,1.347083688,1.5668,3.7746346,2.0435,0.734280467
SKMEL30_SKIN,0.4842,5.28609705,0.2941,8,1.6956,8,0.23,8,0.027,8,0.04694,8,0,8,0.1049,8,0,8,0.1765,8,3.2337,0.13898471,0.4895,7.425682068,1.6605,1.162807584,1.2816,1.808261991,0.01642,8,4.6005,0.012090529,0.01621,8,3.9556,0.015178802,3.251,0.09143956,0.0465,8,1.63,1.200746655,0.267,8,0.1669,8,0,8
C32_SKIN,0.8161,6.354580879,0.1393,8,6.5863,0.006673547,0.1914,8,0,8,0,8,0,8,0.261,8,0.04038,8,0.4507,8,2.4495,0.597305417,0.3158,8,2.0384,1.636802912,2.2885,0.277574718,0.4908,8,3.2117,0.089522883,0.07469,8,3.1892,0.099929944,1.8523,1.360162973,1.2483,2.206977606,1.1826,8,0.6679,8,0.3908,8,0.286,8
PANC0327_PANCREAS,0.6478,8,0.01959,8,4.3483,0.068110488,0.2903,8,0.7534,6.904091835,0.07107,8,0.9077,8,0.8512,1.011073122,0.5476,8,0.7822,8,3.6862,0.137775153,0.1145,8,3.4648,0.141366243,3.1664,0.369094014,2.2368,0.773960292,2.1915,2.416165352,0.03994,8,5.8073,0.003208714,1.2338,8,0.2345,8,2.1313,1.437148929,0.9404,3.227095604,0.2957,8,0.4879,8
ES2_OVARY,0.366,8,NA,NA,3.0835,0.69963789,0.2601,8,0.05121,8,0.1307,8,0.05565,8,0.3971,8,0.04943,8,0.4975,8,4.7008,0.043410122,0.38,8,NA,NA,4.441,0.07795731,1.155,8,3.051,0.131824732,0.2855,8,5.3368,0.024387915,1.9236,0.634661794,0.8935,8,1.8373,1.106144905,0.1766,8,0.419,8,0.09704,8
G402_SOFT_TISSUE,0.4365,8,NA,NA,4.4662,0.073431857,0.8114,8,0.2117,8,1.068,8,1.4516,3.649983644,0.6586,7.053857803,0.008315,8,0.485,7.075237274,3.8386,0.111569107,1.1492,1.491993666,NA,NA,4.218,0.068023697,0.3804,8,0.689,8,NA,NA,5.9752,0.003120293,0.06311,8,0.1487,8,1.6359,1.357991695,0.6709,8,1.3881,2.270528316,0,8
SW48_LARGE_INTESTINE,2.1955,0.687492132,0.3872,8,5.8824,0.014938917,0.131,8,2.7696,8,1.0407,8,1.6492,8,0.8926,7.052232742,0.9012,6.722199917,2.9371,8,4.6508,0.039220411,0.5355,8,4.33,0.081428669,4.0017,0.097553156,0.4682,8,5.322,0.008396589,1.7552,8,6.6415,0.003591424,4.7855,0.036256053,0,8,1.1192,3.640408278,3.1949,0.33778125,1.5286,3.002910137,2.558,1.215090156
CHP212_AUTONOMIC_GANGLIA,2.0767,1.560035467,NA,NA,5.2114,0.029792815,0.86,8,0.4609,8,1.1585,8,2.3748,3.336125612,1.0766,3.521866798,0.7484,8,1.6859,8,5.65,0.013031741,0.5689,8,NA,NA,3.3596,0.685362101,2.0844,8,5.6249,0.005780043,NA,NA,5.9257,0.007673397,5.5723,0.011546331,0.3921,8,1.0626,3.013770342,2.3225,2.156605005,0.6549,3.84577161,0.4165,8
SW403_LARGE_INTESTINE,1.9928,1.978198409,0.2939,8,4.3652,0.050812941,0.2497,8,1.8469,2.379554535,0.2976,8,1.1138,8,0.9122,0.673564748,0.2892,8,1.5593,8,5.1316,0.024751758,0.003239,8,2.8655,0.1093245,4.7006,0.05771403,1.6262,8,4.8714,0.015975719,1.0767,8,5.8697,0.005492983,2.9688,0.064917043,0.1555,8,0.7067,3.408127546,2.2255,0.927091599,0.6138,8,1.0355,8
NCIH747_LARGE_INTESTINE,1.5524,2.882367373,0.6162,8,4.1782,0.084120333,0.4446,8,0.5944,8,0.1082,8,1.2293,8,0.7988,6.117981911,0.1817,8,1.3901,8,4.788,0.035711031,0.5534,8,NA,NA,2.1884,1.061155081,1.2307,8,4.5513,0.022053087,0.797,8,4.5944,0.025522847,3.9755,0.16377683,0.1485,8,0.9015,8,1.389,3.33858633,0.1588,8,0.8585,8
RT4_URINARY_TRACT,1.0211,8,0.7336,8,4.2034,0.058811292,1.0759,8,1.889,8,1.0192,8,3.5666,0.3537938,0.8884,3.469062955,0.4634,8,2.5269,2.343312979,4.7139,0.04782648,0.9329,0.190259154,3.1885,0.389254719,2.83,0.745223701,1.7115,8,2.4741,8,1.7181,8,6.3166,0.004950418,1.6026,4.402423859,0.3804,8,1.4049,1.708937882,2.2436,0.32397661,2.1163,1.54403758,1.6683,8
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.3316,4.972634551,0,8,3.8043,0.204344377,0.03856,8,0,8,0.1665,8,1.9092,0.625976443,0,8,0,8,2.0069,0.971398592,3.844,0.083499774,0.2804,8,NA,NA,3.7961,0.089756981,0.2428,8,2.3201,0.324745417,0.8172,1.91660738,6.3787,0.003238873,1.4573,0.465061456,0.2138,8,0.6449,7.147446156,0.175,8,0.6067,6.138787746,0,8
SW1417_LARGE_INTESTINE,1.4761,3.92724061,NA,NA,4.141,0.068497665,0.7279,8,0.9209,8,0.3706,8,2.5102,8,0.5491,8,0.349,8,1.4917,8,4.3976,0.057577658,0.8551,8,NA,NA,3.6728,0.231740862,0.4361,8,3.5422,0.047472205,0.4307,8,5.1654,0.024212839,2.4436,0.200470254,1.6968,2.278774738,1.7389,0.202369855,1.3905,0.192437288,0.653,8,0.3159,8
MDAMB415_BREAST,0.5793,4.382416034,0.9927,3.974702597,3.8425,0.018407384,0,8,0.4949,8,0.3684,8,0.699,8,0.652,8,0.04379,8,0.09347,8,4.546,0.051927954,0.8087,8,NA,NA,1.0161,1.833097261,0.6508,8,0.3595,8,0.9099,6.220910659,2.8461,8,0.3868,8,0.05878,8,1.4923,1.784172038,0.2655,8,1.1061,5.368505478,0.03477,8
CORL23_LUNG,0.7416,8,0.1142,8,2.3346,0.608988762,0.02301,8,0.1227,8,0.08275,8,0.2272,8,0.3596,8,0,8,0.3283,8,4.0549,0.124227591,0.8032,4.65459013,2.9901,0.491822183,3.0968,1.03082037,0.2085,8,0.5205,8,0,8,5.2187,0.031955611,0.02408,8,0,8,1.2001,6.441958427,0.6334,7.618295193,0.3707,8,0.03604,8
MORCPR_LUNG,0.4603,8,NA,NA,3.875,0.076338477,1.1972,8,0.3634,8,0.1315,8,0.3816,8,0.1384,8,0.029,8,0.7898,8,5.0863,0.029969541,0.1042,8,NA,NA,2.2823,0.933623016,0.7722,8,0.5833,8,NA,NA,6.6116,0.006695316,0.1858,8,0,8,NA,NA,0.5558,8,0.8975,8,0.2041,8
HARA_LUNG,0.4855,8,NA,NA,3.2458,0.212432846,0.1362,8,0.7284,6.656740665,0.3702,8,0.6418,8,0.1488,8,0,8,1.1713,8,3.5884,0.133432224,0.3296,8,NA,NA,3.1222,0.356094778,0.3543,8,1.1893,5.792830944,NA,NA,6.1217,0.007821566,0.2773,8,0.1449,8,1.0923,2.832459927,1.0078,3.312074423,0.5869,8,0.8434,8
SKOV3_OVARY,0.5344,5.594051361,0.1564,8,2.3103,0.117106043,0.1467,8,0.8272,0.983712375,0.5764,8,1.1181,2.545481205,0.02451,8,0,8,0.9297,8,3.3944,0.141392305,0.4214,8,2.4994,0.300980896,2.0795,0.610328019,2.6683,0.454523563,0.519,8,0.06216,8,5.0501,0.013747575,0.334,8,0.3349,8,1.9759,0.24052918,0.7187,8,0.7958,1.747929454,0.6147,8
HPAFII_PANCREAS,1.3463,1.415435689,NA,NA,3.803,0.151630998,1.7663,8,1.3411,4.22283268,1.7918,8,1.8783,8,1.0399,8,1.3888,0.974941611,1.4523,4.848087403,3.7254,0.376810998,0.4414,8,NA,NA,3.3008,0.860146046,1.1707,8,3.016,0.566682398,NA,NA,4.9936,0.006913234,2.0653,3.959347245,0.2772,8,0.9446,8,1.1629,8,0.8712,8,0.965,8
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.2977,8,0,8,3.4533,0.741352916,0.3541,8,0.0505,8,0.2049,8,0.09845,8,0.1444,8,0.1277,8,0.9237,8,3.7751,0.11097426,0.5503,8,NA,NA,4.4146,0.126930177,0.2117,8,0.1658,8,0.7225,7.997480869,6.476,0.011948175,0,8,0.04864,8,0.0784,8,0.1041,8,0.096,8,0.0005163,8
NCIH1568_LUNG,1.3221,8,0.6011,8,1.527,8,0.2685,8,0.918,8,0.7387,8,1.5767,8,1.035,8,0.6435,5.634932995,0.8584,8,4.3663,0.058767039,0.7917,7.921915531,NA,NA,3.7898,0.198225573,1.4092,8,1.5472,8,1.0166,8,5.6099,0.010964806,1.2459,8,0.9667,4.620815754,2.3001,2.201728821,1.6053,4.127527237,0.7681,8,1.6905,5.748595715
A673_BONE,1.599,1.127677202,NA,NA,3.6758,0.198152512,0.1048,8,0.005817,8,0.5932,8,0.9435,8,1.6086,2.269307852,0.2549,8,1.4081,4.943871975,4.71,0.036663793,0.3025,8,NA,NA,5.4861,0.036970902,1.0647,8,0.6163,8,0.2491,8,7.0239,0.0025,1.3769,8,0.7895,8,1.9556,0.809691668,1.734,1.243872643,0.7322,8,0.1029,8
AU565_BREAST,0.7651,8,0.873,7.879194736,4.2668,0.0233486,0.3374,8,3.5677,0.183209524,0.1964,8,0.2328,8,0.7979,8,0.8391,3.060067905,1.1876,8,5.0888,0.032399986,0.6273,8,NA,NA,3.8426,0.135726973,0.7937,8,0.04551,8,0.9007,7.564302444,6.6977,0.005203366,0.09979,8,0.6038,8,1.5268,3.295681238,0.1526,8,0.7107,7.390176773,0.491,8
COLO201_LARGE_INTESTINE,1.3266,3.582765341,0.8895,8,4.4923,0.046831898,0.2519,8,0.1412,8,0.2836,8,0.8254,8,0.7973,5.893179417,0,8,0.3262,8,5.0094,0.033039317,0.8047,8,NA,NA,3.1666,0.675204515,0.966,8,5.7584,0.006378752,1.4388,1.482443929,5.1776,0.015830604,4.1926,0.07659103,2.6493,0.625659168,2.4944,0.435073406,2.0928,1.793434024,0.7751,5.291865826,0.1882,8
NCIH1563_LUNG,1.0647,8,0.286,8,3.2288,0.215863928,0.1891,8,0.3184,8,0.8828,8,0.4409,8,0.6033,8,0.0838,8,0.7126,8,2.8012,0.234401062,0.1783,8,NA,NA,0.08307,8,0.36,8,0.1998,8,0.4013,8,1.8457,8,0.5965,8,0.03817,8,0.9544,8,1.2603,8,0.98,7.06904459,0.1776,8
NCIH358_LUNG,1.0482,6.799887657,0.4732,8,2.9418,0.07596647,0.1218,8,1.4357,2.838340044,0.3662,8,0.7506,6.738224983,0.8719,8,0.6911,3.798366785,1.6435,2.105731487,4.264,0.091187067,0.4633,8,NA,NA,2.0796,1.649246097,0.7728,8,3.6668,0.084666125,0.5514,8,5.6597,0.009548982,2.4557,1.744710326,0.7734,5.514954567,1.9399,1.64696753,1.5223,1.331018448,1.3765,5.453622341,1.6179,2.132719517
NIHOVCAR3_OVARY,0.9727,8,0.07783,8,2.8123,0.245931864,0.2992,8,1.0323,5.117734732,0.7236,8,2.2222,1.363028646,0.5743,8,0.4514,8,1.6073,1.325326085,4.6118,0.048463259,1.3616,2.027971539,3.6816,0.347054332,2.0783,1.308173299,0.2826,8,1.3723,8,0.268,8,5.2836,0.004321144,1.5972,8,0.3427,8,2.0829,2.117441654,2.0012,2.449764729,0.8821,8,1.1932,8
NCIH1650_LUNG,0.4436,8,0.4834,8,4.5681,0.030661542,0.03316,8,1.0601,5.152448654,0.5891,8,1.9891,0.494352132,0.4561,8,0.6198,7.487191677,2.4608,0.989076436,3.4336,0.176857501,0.5556,8,NA,NA,1.4616,1.748359203,0.366,8,0.0898,8,0.1289,8,4.3317,0.009901977,0.3713,8,0.3035,8,1.2499,1.616140127,0.8811,8,0.7558,6.863274097,1.3557,8
NCIH1793_LUNG,0.4367,6.899638653,0.1586,8,1.6359,0.238597125,0.08983,8,0.6214,8,0.6553,8,0.8634,2.583734751,0.04633,8,0,8,1.9546,1.843716621,NA,NA,0.04823,8,NA,NA,1.5681,1.696554303,0.4629,8,1.1635,8,0.7979,2.038415432,3.6008,0.014615449,1.1445,8,0.02881,8,1.0381,2.839692116,0.3799,5.928136349,0.6117,8,0.4024,8
