Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
PRPF38B	ENSG00000134186.11	18.920	40.140	-1.046	7.59e-84
GSTM5	ENSG00000134201.10	1.870	15.310	-2.507	2.97e-198
WNT2B	ENSG00000134245.17	0.610	5.470	-2.007	7.97e-220
PTGFRN	ENSG00000134247.9	28.789	12.110	1.184	4.48e-75
VTCN1	ENSG00000134258.16	1.180	0.080	1.013	1.20e-49
SLC38A2	ENSG00000134294.13	43.519	126.552	-1.519	1.90e-97
LPIN1	ENSG00000134324.11	9.090	21.550	-1.160	1.87e-65
LDHA	ENSG00000134333.13	674.979	296.789	1.183	1.85e-80
FST	ENSG00000134363.11	1.650	6.790	-1.556	7.72e-28
RBM17	ENSG00000134453.15	57.460	121.557	-1.068	6.19e-71
IL15RA	ENSG00000134470.19	16.979	49.029	-1.476	7.47e-102
SOX5	ENSG00000134532.15	0.340	1.700	-1.011	3.18e-131
RERG	ENSG00000134533.6	4.540	13.880	-1.425	6.39e-85
LRP4	ENSG00000134569.9	2.110	5.250	-1.007	1.99e-25
PIWIL4	ENSG00000134627.11	0.960	3.040	-1.043	2.18e-80
SPOCD1	ENSG00000134668.12	2.700	9.660	-1.527	2.09e-67
HOOK1	ENSG00000134709.10	8.120	3.320	1.078	6.11e-89
PDGFRA	ENSG00000134853.11	8.220	46.291	-2.359	2.78e-135
ETS1	ENSG00000134954.14	24.550	64.288	-1.354	1.47e-92
NREP	ENSG00000134986.13	31.321	13.750	1.132	1.70e-56
TMEM2	ENSG00000135048.13	34.709	88.327	-1.323	8.36e-95
GOLM1	ENSG00000135052.16	105.939	12.410	2.995	7.22e-241
FAM189A2	ENSG00000135063.17	4.900	32.079	-2.487	4.97e-143
PSAT1	ENSG00000135069.13	12.370	2.100	2.109	2.72e-63
TBX3	ENSG00000135111.14	2.230	36.161	-3.524	2.06e-262
NT5E	ENSG00000135318.11	15.650	4.910	1.494	1.88e-56
LMO2	ENSG00000135363.11	7.870	36.359	-2.075	1.14e-197
PHF21A	ENSG00000135365.15	13.140	27.590	-1.016	8.27e-87
ITGA7	ENSG00000135424.15	3.730	28.060	-2.619	3.01e-143
RDH5	ENSG00000135437.9	2.200	7.350	-1.384	2.37e-62
TROAP	ENSG00000135451.12	10.230	1.590	2.116	6.31e-93
PAN2	ENSG00000135473.14	15.630	59.560	-1.865	8.87e-91
SLC26A10	ENSG00000135502.16	0.520	5.800	-2.161	5.21e-144
MAP7	ENSG00000135525.18	13.000	5.190	1.177	5.69e-87
PKIB	ENSG00000135549.14	9.240	1.990	1.776	1.20e-74
MICAL1	ENSG00000135596.17	15.009	76.728	-2.280	2.31e-146
STX11	ENSG00000135604.9	3.720	22.579	-2.321	6.09e-214
KCNMB4	ENSG00000135643.4	2.430	5.970	-1.023	3.49e-18
USP15	ENSG00000135655.13	25.490	63.232	-1.278	6.93e-116
FHOD1	ENSG00000135723.13	27.729	98.257	-1.789	2.30e-94
KCNK1	ENSG00000135750.14	21.130	4.800	1.932	2.80e-91
KIAA1614	ENSG00000135835.10	0.950	3.630	-1.248	1.33e-111
SLC19A3	ENSG00000135917.13	0.790	7.600	-2.264	1.10e-175
REV1	ENSG00000135945.9	15.870	34.391	-1.069	1.92e-83
SLC41A2	ENSG00000136052.9	11.950	4.400	1.262	5.21e-90
NEK3	ENSG00000136098.16	6.250	16.280	-1.253	1.34e-94
THSD1	ENSG00000136114.15	1.520	10.580	-2.200	2.32e-233
LRCH1	ENSG00000136141.14	4.850	13.220	-1.281	1.18e-142
SCEL	ENSG00000136155.16	14.460	42.721	-1.500	4.33e-45
IGF2BP3	ENSG00000136231.13	3.830	0.650	1.550	1.39e-57
RAPGEF5	ENSG00000136237.18	9.940	32.110	-1.598	1.67e-116
IL6	ENSG00000136244.11	5.340	24.710	-2.020	3.80e-55
NACAD	ENSG00000136274.8	0.730	2.630	-1.069	1.24e-73
MYO1G	ENSG00000136286.14	9.490	22.230	-1.147	6.05e-32
TM6SF1	ENSG00000136404.15	3.800	11.130	-1.337	1.27e-106
SCN7A	ENSG00000136546.13	1.740	24.429	-3.214	1.23e-216
HLX	ENSG00000136630.12	6.440	26.870	-1.905	1.01e-161
GYPC	ENSG00000136732.14	21.529	102.892	-2.205	8.01e-206
KLF4	ENSG00000136826.14	10.550	87.997	-2.946	2.43e-167
TMOD1	ENSG00000136842.13	2.490	14.250	-2.128	7.36e-176
TLR4	ENSG00000136869.13	3.850	13.130	-1.543	2.94e-124
KIF12	ENSG00000136883.12	4.290	1.280	1.214	7.68e-42
IL33	ENSG00000137033.11	7.670	26.159	-1.647	1.45e-72
IL11RA	ENSG00000137070.17	7.260	27.010	-1.762	1.76e-148
TLN1	ENSG00000137076.18	115.800	251.026	-1.110	7.17e-102
SPAG8	ENSG00000137098.13	0.940	4.500	-1.503	1.58e-72
PPIL1	ENSG00000137168.7	28.259	11.780	1.195	8.97e-114
TFAP2A	ENSG00000137203.10	4.680	0.390	2.031	3.56e-109
FOXF2	ENSG00000137273.3	2.960	16.530	-2.146	2.76e-151
TUBB2B	ENSG00000137285.9	3.690	1.290	1.034	6.82e-36
UQCC2	ENSG00000137288.9	109.061	38.141	1.492	6.00e-144
HMGA1	ENSG00000137309.19	132.770	39.140	1.737	1.25e-105
RNF144B	ENSG00000137393.9	7.010	23.870	-1.635	2.97e-135
FGFBP2	ENSG00000137441.7	0.390	3.930	-1.827	1.67e-138
TLR2	ENSG00000137462.6	10.430	31.710	-1.517	1.21e-81
SLCO2B1	ENSG00000137491.14	23.659	62.171	-1.357	1.80e-79
LRRC32	ENSG00000137507.11	12.160	105.829	-3.021	1.31e-220
MRPL15	ENSG00000137547.8	55.379	24.350	1.153	4.35e-119
GGH	ENSG00000137563.11	18.621	7.620	1.187	6.23e-48
SULF1	ENSG00000137573.13	35.490	10.790	1.630	3.82e-59
TMPRSS4	ENSG00000137648.16	47.221	1.050	4.556	1.03e-169
TRPC6	ENSG00000137672.12	3.270	11.910	-1.596	1.51e-71
MMP7	ENSG00000137673.8	43.299	5.830	2.697	2.44e-77
FXYD6	ENSG00000137726.15	17.900	88.162	-2.238	1.46e-165
MMP13	ENSG00000137745.11	2.410	0.010	1.755	4.09e-71
TMPRSS13	ENSG00000137747.14	11.740	2.800	1.745	6.55e-96
THBS1	ENSG00000137801.10	42.629	272.516	-2.648	8.05e-104
MAPKBP1	ENSG00000137802.13	3.630	10.420	-1.302	4.06e-121
NUSAP1	ENSG00000137804.12	14.490	3.460	1.796	9.36e-97
KIF23	ENSG00000137807.13	6.570	2.180	1.251	5.33e-55
ITGA11	ENSG00000137809.16	4.620	1.340	1.264	1.64e-52
PARP6	ENSG00000137817.16	29.070	62.569	-1.080	6.76e-69
ITPKA	ENSG00000137825.10	3.370	0.550	1.495	3.67e-64
UACA	ENSG00000137831.14	11.660	43.721	-1.821	5.70e-150
SMAD6	ENSG00000137834.14	3.960	34.189	-2.827	2.52e-162
PLCB2	ENSG00000137841.11	14.050	46.859	-1.669	1.85e-95
STRA6	ENSG00000137868.18	3.530	0.230	1.881	6.42e-84
SEMA6D	ENSG00000137872.15	0.750	5.360	-1.862	6.18e-140
GCOM1	ENSG00000137878.16	0.320	2.760	-1.510	7.97e-124
TTLL7	ENSG00000137941.16	0.810	5.250	-1.788	9.93e-109
SLC44A5	ENSG00000137968.16	2.330	0.180	1.497	5.23e-66
KIF11	ENSG00000138160.5	4.970	0.740	1.779	2.27e-135
TACC2	ENSG00000138162.17	29.110	63.241	-1.093	2.58e-32
PLCE1	ENSG00000138193.14	2.020	9.180	-1.753	7.88e-130
RBP4	ENSG00000138207.12	3.710	16.460	-1.890	2.24e-52
GPR87	ENSG00000138271.5	2.090	0.100	1.490	3.43e-62
HECW2	ENSG00000138411.10	2.870	8.530	-1.300	6.40e-102
OLA1	ENSG00000138430.15	77.272	33.490	1.182	1.79e-146
RASGEF1B	ENSG00000138670.16	7.920	19.120	-1.174	5.50e-111
FGF2	ENSG00000138685.12	0.520	4.870	-1.949	1.89e-191
KIAA1109	ENSG00000138688.15	12.420	31.449	-1.274	8.04e-97
MMRN1	ENSG00000138722.9	1.650	13.310	-2.433	1.23e-165
PDE5A	ENSG00000138735.15	3.720	14.600	-1.725	4.87e-169
PRDM5	ENSG00000138738.10	1.660	4.800	-1.125	1.55e-135
FRAS1	ENSG00000138759.17	0.840	2.890	-1.080	6.34e-61
SLC39A8	ENSG00000138821.12	34.071	102.160	-1.557	2.03e-61
MAPK8IP3	ENSG00000138834.12	19.650	72.218	-1.826	1.62e-59
PARVG	ENSG00000138964.16	13.390	47.781	-1.761	2.37e-118
GABARAPL1	ENSG00000139112.10	38.390	127.857	-1.710	4.12e-126
FGD4	ENSG00000139132.14	3.740	9.200	-1.106	3.11e-101
PRICKLE1	ENSG00000139174.10	2.120	5.450	-1.048	1.22e-70
VAMP1	ENSG00000139190.16	3.820	12.260	-1.460	3.86e-95
PTPRQ	ENSG00000139304.12	0.030	1.560	-1.314	3.49e-168
N4BP2L1	ENSG00000139597.16	8.550	27.980	-1.602	7.59e-151
MAP3K12	ENSG00000139625.12	5.180	28.401	-2.250	4.52e-143
GALNT6	ENSG00000139629.15	15.020	3.280	1.904	4.56e-88
LMBR1L	ENSG00000139636.15	24.200	66.560	-1.423	1.00e-86
WDFY2	ENSG00000139668.8	2.790	6.880	-1.056	7.87e-114
LPAR6	ENSG00000139679.15	10.450	25.359	-1.203	9.34e-94
SSTR1	ENSG00000139874.5	0.520	4.200	-1.774	6.35e-121
RTN1	ENSG00000139970.16	3.230	9.130	-1.260	2.12e-77
JDP2	ENSG00000140044.12	22.340	48.291	-1.079	3.47e-87
FBLN5	ENSG00000140092.14	20.150	172.672	-3.038	2.35e-186
SLC12A6	ENSG00000140199.11	6.630	16.160	-1.169	2.65e-105
SORD	ENSG00000140263.13	15.540	5.030	1.456	1.71e-121
SLC27A2	ENSG00000140284.10	5.670	1.040	1.709	9.49e-68
FGF7	ENSG00000140285.9	5.010	21.780	-1.922	8.43e-101
HDC	ENSG00000140287.10	1.270	9.990	-2.275	1.16e-112
GCNT3	ENSG00000140297.12	8.790	0.300	2.913	3.11e-121
PSTPIP1	ENSG00000140368.12	6.610	17.330	-1.268	1.21e-65
NEIL1	ENSG00000140398.13	10.940	38.141	-1.713	1.00e-78
MAN2C1	ENSG00000140400.14	43.761	241.837	-2.440	2.56e-126
TPM1	ENSG00000140416.19	114.229	264.201	-1.203	3.35e-56
FANCI	ENSG00000140525.17	8.060	3.500	1.010	2.40e-60
NTRK3	ENSG00000140538.16	0.280	5.110	-2.255	3.79e-216
MFGE8	ENSG00000140545.14	65.748	197.813	-1.575	2.07e-94
SH3GL3	ENSG00000140600.16	0.070	1.670	-1.319	2.98e-139
ITGAX	ENSG00000140678.16	11.330	97.180	-2.993	1.53e-153
TGFB1I1	ENSG00000140682.18	15.220	66.412	-2.055	4.77e-155
NKD1	ENSG00000140807.5	0.710	6.490	-2.131	3.99e-134
MARVELD3	ENSG00000140832.9	9.280	2.550	1.534	5.55e-151
NLRC5	ENSG00000140853.15	17.019	39.791	-1.179	1.86e-50
RHOT2	ENSG00000140983.13	48.761	116.751	-1.243	4.09e-49
MYOCD	ENSG00000141052.17	0.160	2.250	-1.486	1.49e-145
KSR1	ENSG00000141068.13	17.940	40.109	-1.118	6.96e-44
RANBP10	ENSG00000141084.10	5.100	11.600	-1.047	9.02e-101
TOM1L1	ENSG00000141198.13	35.661	15.260	1.173	2.63e-100
SGSM2	ENSG00000141258.12	24.271	58.500	-1.235	1.63e-54
PTRH2	ENSG00000141378.14	29.290	13.600	1.053	6.09e-112
GATA6	ENSG00000141448.8	3.130	15.401	-1.990	1.10e-142
SLC14A1	ENSG00000141469.16	0.430	2.700	-1.372	7.82e-83
ZMYND15	ENSG00000141497.13	2.630	7.790	-1.276	2.18e-104
MINK1	ENSG00000141503.15	27.620	82.910	-1.552	4.67e-120
PIK3R5	ENSG00000141506.13	3.900	26.319	-2.479	6.06e-196
MAPK4	ENSG00000141639.11	0.170	1.890	-1.305	5.29e-55
ZCCHC2	ENSG00000141664.9	6.170	13.960	-1.061	3.35e-100
PMAIP1	ENSG00000141682.11	8.880	3.110	1.265	1.51e-50
P3H4	ENSG00000141696.12	17.080	6.890	1.196	1.51e-67
ERBB2	ENSG00000141736.13	85.407	39.849	1.081	9.52e-61
PNMT	ENSG00000141744.3	0.500	4.650	-1.913	5.58e-78
TPGS1	ENSG00000141933.9	4.000	10.450	-1.195	4.63e-90
PPAP2C	ENSG00000141934.9	85.182	7.050	3.420	5.06e-201
WTIP	ENSG00000142279.12	7.000	16.910	-1.163	1.08e-68
MYO1F	ENSG00000142347.16	11.030	54.439	-2.204	1.38e-157
EVA1B	ENSG00000142694.6	15.730	35.879	-1.140	4.56e-54
PLK4	ENSG00000142731.10	3.690	1.300	1.028	3.53e-70
MAP3K6	ENSG00000142733.14	24.690	110.736	-2.121	2.13e-121
FCN3	ENSG00000142748.12	6.120	611.368	-6.426	1.13e-288
TINAGL1	ENSG00000142910.15	19.690	112.711	-2.458	4.15e-130
KIF2C	ENSG00000142945.12	7.410	1.000	2.072	2.09e-119
PTPRF	ENSG00000142949.16	87.571	37.291	1.210	6.77e-85
ITGA10	ENSG00000143127.12	0.730	16.330	-3.324	3.00e-195
RXRG	ENSG00000143171.12	0.320	2.390	-1.361	1.69e-75
TMCO1	ENSG00000143183.16	127.141	46.879	1.420	8.98e-154
PVRL4	ENSG00000143217.8	23.821	3.960	2.323	2.67e-148
NUF2	ENSG00000143228.12	6.530	0.800	2.065	3.97e-115
MRPL24	ENSG00000143314.12	91.651	43.510	1.058	2.43e-109
XPR1	ENSG00000143324.13	29.240	8.510	1.669	5.25e-124
HMCN1	ENSG00000143341.11	5.550	18.539	-1.577	2.21e-90
RORC	ENSG00000143365.16	20.480	6.050	1.607	3.72e-60
GOLPH3L	ENSG00000143457.10	28.470	12.240	1.154	2.19e-105
SUSD4	ENSG00000143502.14	7.280	1.820	1.554	9.62e-54
S100A8	ENSG00000143546.9	36.539	477.017	-3.671	5.49e-126
SLC27A3	ENSG00000143554.13	32.459	83.008	-1.328	3.08e-65
SRP9	ENSG00000143742.12	229.364	105.506	1.113	3.58e-126
SOX13	ENSG00000143842.14	10.480	46.539	-2.050	1.56e-132
PLEKHA6	ENSG00000143850.12	10.110	2.770	1.559	1.71e-69
OSR1	ENSG00000143867.6	2.760	13.300	-1.927	3.32e-126
PDIA6	ENSG00000143870.12	227.574	110.430	1.037	7.00e-92
RHOB	ENSG00000143878.9	135.908	305.493	-1.163	7.20e-45
MEIS1	ENSG00000143995.19	5.490	37.501	-2.569	4.36e-207
MALL	ENSG00000144063.3	108.993	40.779	1.397	3.59e-39
TMEM177	ENSG00000144120.12	10.430	3.600	1.313	6.82e-172
GPR17	ENSG00000144230.16	0.140	6.100	-2.639	5.50e-202
SCN1A	ENSG00000144285.15	0.260	2.300	-1.389	4.14e-54
ZNF385B	ENSG00000144331.18	2.280	19.271	-2.628	8.53e-59
KANSL1L	ENSG00000144445.15	5.720	13.390	-1.099	1.18e-100
STK11IP	ENSG00000144589.20	11.130	25.591	-1.132	8.91e-72
RBMS3	ENSG00000144642.20	2.100	11.390	-1.999	2.42e-181
FAM198A	ENSG00000144649.8	0.710	4.210	-1.607	7.29e-145
STAC	ENSG00000144681.10	1.980	5.900	-1.211	3.78e-56
IQSEC1	ENSG00000144711.13	12.340	27.801	-1.110	3.34e-106
PTPRG	ENSG00000144724.18	5.510	14.620	-1.263	2.40e-86
LIMD1	ENSG00000144791.9	7.490	17.250	-1.104	5.59e-74
NFKBIZ	ENSG00000144802.11	16.050	53.149	-1.667	1.00e-88
PHLDB2	ENSG00000144824.19	5.150	26.999	-2.187	4.24e-152
PLA1A	ENSG00000144837.8	3.410	18.420	-2.139	1.14e-102
TMEM108	ENSG00000144868.13	4.150	10.320	-1.136	2.78e-47
TMEM44	ENSG00000145014.17	9.190	24.891	-1.345	1.39e-77
NICN1	ENSG00000145029.11	7.920	17.750	-1.072	6.86e-93
ILDR1	ENSG00000145103.12	7.250	1.870	1.523	2.69e-116
MUC4	ENSG00000145113.21	19.160	4.330	1.919	3.21e-29
SLIT2	ENSG00000145147.19	3.350	33.091	-2.970	1.37e-212
OCIAD2	ENSG00000145247.11	199.465	29.151	2.733	1.80e-238
PLAC8	ENSG00000145287.10	15.600	45.660	-1.491	5.08e-39
SNCA	ENSG00000145335.15	2.880	14.650	-2.012	2.82e-161
USP53	ENSG00000145390.11	9.300	32.610	-1.706	1.01e-123
ROPN1L	ENSG00000145491.11	1.000	3.460	-1.157	5.83e-28
NKD2	ENSG00000145506.13	7.170	69.879	-3.117	1.50e-180
SRD5A1	ENSG00000145545.11	8.450	2.710	1.349	4.63e-120
FAM105A	ENSG00000145569.5	9.960	26.210	-1.312	1.05e-46
PIK3R1	ENSG00000145675.14	8.450	30.431	-1.734	2.16e-149
KCNMB1	ENSG00000145936.8	1.150	3.310	-1.003	2.01e-92
GFOD1	ENSG00000145990.10	1.160	9.090	-2.224	1.60e-232
GFRA3	ENSG00000146013.10	2.510	0.240	1.501	7.82e-54
TRIM7	ENSG00000146054.17	0.870	4.000	-1.419	5.01e-47
FAM193B	ENSG00000146067.15	24.360	112.703	-2.165	3.81e-103
TNFRSF21	ENSG00000146072.6	60.480	16.060	1.849	1.49e-124
HMGCLL1	ENSG00000146151.12	0.400	1.850	-1.026	3.23e-90
LGSN	ENSG00000146166.16	3.610	0.130	2.028	1.14e-85
FGD2	ENSG00000146192.14	5.240	26.679	-2.149	3.27e-145
TPBG	ENSG00000146242.8	14.790	6.850	1.008	2.52e-48
FAXC	ENSG00000146267.11	8.220	2.780	1.286	1.84e-70
RNF217	ENSG00000146373.16	2.530	9.530	-1.577	1.99e-114
RSPO3	ENSG00000146374.13	1.020	3.970	-1.299	2.00e-31
VIP	ENSG00000146469.12	0.080	2.420	-1.663	7.53e-178
IGFBP3	ENSG00000146674.14	125.922	32.570	1.919	2.76e-80
PSPH	ENSG00000146733.13	9.960	4.130	1.095	1.25e-73
GIGYF1	ENSG00000146830.9	12.300	25.919	-1.017	2.84e-45
NCAPG2	ENSG00000146918.19	8.320	3.220	1.143	9.46e-75
TMEM47	ENSG00000147027.3	4.480	18.240	-1.812	6.09e-138
OGT	ENSG00000147162.13	32.789	101.532	-1.601	4.81e-72
NXF3	ENSG00000147206.16	0.300	8.390	-2.853	2.08e-191
GPC3	ENSG00000147257.13	8.610	117.059	-3.619	7.92e-176
HMBOX1	ENSG00000147421.17	7.230	27.639	-1.799	1.57e-168
GNRH1	ENSG00000147437.9	0.670	4.120	-1.616	2.03e-130
SLC25A37	ENSG00000147454.13	22.020	54.841	-1.278	6.49e-57
TACC1	ENSG00000147526.19	17.640	83.731	-2.184	2.29e-175
LACTB2	ENSG00000147592.8	31.349	13.560	1.152	1.13e-93
RSPO2	ENSG00000147655.10	0.280	4.040	-1.977	6.03e-157
MAL2	ENSG00000147676.13	173.488	48.060	1.831	1.09e-103
FAM83A	ENSG00000147689.16	30.260	0.190	4.715	2.78e-218
GSDMC	ENSG00000147697.8	2.310	0.460	1.181	2.10e-60
SLC39A4	ENSG00000147804.9	80.918	27.240	1.536	1.34e-107
UHRF2	ENSG00000147854.16	11.690	24.460	-1.005	1.79e-63
PLIN2	ENSG00000147872.9	40.861	115.952	-1.482	1.58e-77
NTRK2	ENSG00000148053.15	0.360	2.440	-1.339	4.11e-67
SHC3	ENSG00000148082.9	0.940	2.980	-1.037	4.72e-54
STOM	ENSG00000148175.12	109.606	280.158	-1.346	5.66e-102
SLC25A25	ENSG00000148339.12	8.890	26.190	-1.459	9.77e-116
FAM73B	ENSG00000148343.18	9.090	21.791	-1.176	3.54e-71
PTGES	ENSG00000148344.10	19.220	4.800	1.802	1.15e-68
LCN2	ENSG00000148346.11	126.719	40.881	1.609	3.61e-29
HMCN2	ENSG00000148357.16	0.420	3.130	-1.540	3.11e-123
INPP5E	ENSG00000148384.11	4.490	10.800	-1.104	4.65e-92
NOTCH1	ENSG00000148400.9	6.680	24.160	-1.712	3.29e-145
ST8SIA6	ENSG00000148488.15	0.220	1.610	-1.097	6.08e-91
ZEB1	ENSG00000148516.21	4.340	17.710	-1.809	2.60e-171
FAM13C	ENSG00000148541.12	1.520	6.470	-1.568	9.93e-122
HABP2	ENSG00000148702.14	3.740	0.110	2.094	7.94e-72
PLEKHS1	ENSG00000148735.14	4.660	0.760	1.685	4.43e-22
MKI67	ENSG00000148773.12	8.700	1.380	2.027	2.93e-108
ITPRIP	ENSG00000148841.15	8.010	34.580	-1.981	8.39e-168
SCGB1A1	ENSG00000149021.6	52.899	426.144	-2.986	3.95e-28
SERPING1	ENSG00000149131.15	242.475	888.297	-1.869	2.67e-139
PAK1	ENSG00000149269.9	38.449	18.040	1.051	4.52e-88
NCAM1	ENSG00000149294.16	0.470	1.980	-1.019	1.57e-31
GLB1L2	ENSG00000149328.14	14.090	3.740	1.671	8.67e-74
GRIK4	ENSG00000149403.11	0.110	1.350	-1.082	5.79e-181
ST14	ENSG00000149418.10	94.910	23.381	1.976	7.45e-163
GGTLC1	ENSG00000149435.12	6.560	33.400	-2.186	6.27e-43
MS4A2	ENSG00000149534.8	1.170	4.770	-1.411	1.38e-67
FEZ1	ENSG00000149557.12	5.270	34.621	-2.506	8.77e-230
ESAM	ENSG00000149564.11	24.640	162.376	-2.672	8.22e-193
SIDT2	ENSG00000149577.15	21.099	58.351	-1.425	6.35e-148
TAGLN	ENSG00000149591.16	253.176	975.974	-1.942	1.06e-98
JPH2	ENSG00000149596.6	0.440	4.340	-1.891	6.74e-181
FERMT3	ENSG00000149781.12	22.620	53.109	-1.196	3.09e-79
TAOK2	ENSG00000149930.17	20.559	47.771	-1.178	1.20e-102
KLRF1	ENSG00000150045.11	0.680	2.920	-1.222	4.11e-85
PCDH15	ENSG00000150275.17	0.050	1.330	-1.150	7.40e-125
LATS2	ENSG00000150457.8	5.460	13.200	-1.136	6.98e-114
LYPD1	ENSG00000150551.10	4.760	0.800	1.678	1.44e-77
GPM6A	ENSG00000150625.16	0.480	7.650	-2.547	5.51e-166
VEGFC	ENSG00000150630.3	3.580	12.350	-1.543	1.64e-78
RGS18	ENSG00000150681.9	1.280	4.210	-1.192	4.63e-106
FOXO1	ENSG00000150907.6	5.150	15.980	-1.465	1.74e-128
RILPL2	ENSG00000150977.10	4.310	11.450	-1.229	4.47e-157
ITPR1	ENSG00000150995.17	8.260	23.501	-1.404	7.75e-97
PRSS53	ENSG00000151006.7	0.550	2.550	-1.196	6.85e-53
TWF1	ENSG00000151239.13	46.600	22.330	1.029	4.29e-104
FRMD4A	ENSG00000151474.19	7.200	26.040	-1.721	6.83e-174
VENTX	ENSG00000151650.7	0.480	3.550	-1.620	1.81e-144
INPP1	ENSG00000151689.12	11.470	33.669	-1.475	5.63e-123
FLI1	ENSG00000151702.16	8.510	32.260	-1.806	3.92e-163
TMEM45B	ENSG00000151715.7	29.629	6.870	1.960	8.38e-106
WWC2	ENSG00000151718.15	6.150	19.061	-1.488	2.63e-126
SERP2	ENSG00000151778.10	1.670	4.910	-1.146	2.56e-95
GFRA1	ENSG00000151892.14	0.340	2.380	-1.335	1.12e-97
GLT1D1	ENSG00000151948.11	0.330	2.210	-1.271	1.68e-107
SCHIP1	ENSG00000151967.18	1.410	5.220	-1.368	2.51e-107
HSPB8	ENSG00000152137.6	13.300	68.071	-2.272	2.17e-157
GEMIN6	ENSG00000152147.10	12.510	5.520	1.051	4.77e-134
TMEM178A	ENSG00000152154.10	1.170	6.010	-1.692	3.76e-84
SETBP1	ENSG00000152217.16	1.390	5.720	-1.491	2.30e-128
PSTPIP2	ENSG00000152229.18	5.640	13.390	-1.116	3.25e-74
SPC25	ENSG00000152253.8	3.700	0.720	1.450	1.14e-95
PDE3B	ENSG00000152270.8	2.100	7.980	-1.534	8.55e-116
TCF7L1	ENSG00000152284.4	8.390	18.581	-1.060	2.57e-51
GUCY1A2	ENSG00000152402.10	0.610	3.400	-1.450	2.09e-151
ZFP36L2	ENSG00000152518.6	47.950	119.311	-1.297	5.34e-91
PLEKHH2	ENSG00000152527.13	3.080	32.960	-3.057	3.15e-174
IGSF10	ENSG00000152580.8	1.070	27.751	-3.796	1.50e-257
SPARCL1	ENSG00000152583.12	57.579	489.341	-3.065	2.56e-195
TCTEX1D1	ENSG00000152760.9	0.480	4.490	-1.891	7.47e-105
SLC16A12	ENSG00000152779.13	0.270	2.130	-1.301	9.75e-57
HHEX	ENSG00000152804.10	5.940	14.620	-1.170	3.94e-75
SYCP2L	ENSG00000153157.12	0.350	1.930	-1.118	1.74e-54
MERTK	ENSG00000153208.16	6.520	15.590	-1.141	2.58e-67
RBMS1	ENSG00000153250.17	26.489	59.001	-1.126	8.51e-111
SLC25A27	ENSG00000153291.15	2.800	25.029	-2.776	6.27e-137
LINC00467	ENSG00000153363.12	10.190	2.980	1.491	1.88e-141
PTPRD	ENSG00000153707.15	0.830	5.450	-1.817	1.06e-150
LURAP1L	ENSG00000153714.5	11.490	25.890	-1.106	2.51e-83
PID1	ENSG00000153823.18	5.780	21.320	-1.719	7.63e-105
KCTD15	ENSG00000153885.14	5.030	21.209	-1.881	9.89e-122
MCOLN2	ENSG00000153898.12	2.570	9.890	-1.609	1.98e-97
LGI4	ENSG00000153902.13	0.910	14.770	-3.046	8.00e-225
GDPD1	ENSG00000153982.10	3.740	1.330	1.025	5.38e-86
SEMA3D	ENSG00000153993.13	0.430	1.910	-1.025	5.49e-74
THY1	ENSG00000154096.13	60.652	23.350	1.340	7.23e-31
UBASH3B	ENSG00000154127.9	2.190	6.460	-1.226	2.11e-84
ROBO4	ENSG00000154133.14	5.170	56.661	-3.224	5.20e-245
ROBO3	ENSG00000154134.14	3.390	20.019	-2.259	1.50e-141
TBRG1	ENSG00000154144.12	17.771	39.799	-1.120	1.46e-115
NRGN	ENSG00000154146.12	17.400	64.141	-1.824	2.20e-59
FAM134B	ENSG00000154153.13	3.300	9.670	-1.311	1.61e-56
TNIK	ENSG00000154310.16	4.600	11.340	-1.140	2.66e-52
FAM167A	ENSG00000154319.14	2.120	7.050	-1.367	1.85e-48
PGM5	ENSG00000154330.12	2.560	13.670	-2.043	3.45e-130
WNT3A	ENSG00000154342.5	0.110	3.620	-2.057	2.78e-217
OBSCN	ENSG00000154358.19	3.870	13.850	-1.608	1.04e-71
LONRF1	ENSG00000154359.12	6.740	18.570	-1.338	2.85e-129
MAGED4	ENSG00000154545.16	4.100	0.700	1.585	1.10e-61
PDLIM3	ENSG00000154553.13	17.530	53.809	-1.565	1.84e-87
PDE1C	ENSG00000154678.16	0.480	5.200	-2.067	4.04e-166
JAM2	ENSG00000154721.14	3.630	23.501	-2.404	2.07e-204
WNT7A	ENSG00000154764.5	0.180	1.850	-1.272	1.08e-49
FGD5	ENSG00000154783.10	4.880	27.179	-2.261	1.26e-220
FLCN	ENSG00000154803.12	12.350	43.621	-1.741	2.12e-145
SKA1	ENSG00000154839.9	1.900	0.260	1.203	8.21e-92
PIEZO2	ENSG00000154864.11	1.730	7.240	-1.594	3.54e-113
PROM2	ENSG00000155066.15	22.540	2.450	2.770	4.04e-171
GOLGA7B	ENSG00000155265.10	3.220	0.770	1.253	1.75e-72
SLC25A28	ENSG00000155287.10	28.869	78.188	-1.407	1.01e-136
SAMSN1	ENSG00000155307.17	9.070	22.841	-1.243	2.36e-77
SLC7A7	ENSG00000155465.18	19.940	48.110	-1.230	8.55e-72
GRIA1	ENSG00000155511.17	0.140	7.800	-2.949	5.07e-235
VSIG4	ENSG00000155659.14	27.100	125.408	-2.169	2.25e-80
PDIA4	ENSG00000155660.10	179.681	53.600	1.726	5.24e-145
