Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
GTF2A2	ENSG00000140307.10	124.896	60.854	1.025	1.36e-111
PSTPIP1	ENSG00000140368.12	6.290	18.070	-1.387	3.96e-76
NEIL1	ENSG00000140398.13	5.495	38.630	-2.609	6.10e-150
MAN2C1	ENSG00000140400.14	46.728	244.162	-2.361	2.30e-128
TPM1	ENSG00000140416.19	107.716	271.742	-1.327	4.68e-70
RHCG	ENSG00000140519.12	15.124	0.330	3.600	5.36e-97
FANCI	ENSG00000140525.17	23.075	3.575	2.396	7.94e-205
TICRR	ENSG00000140534.13	3.845	0.520	1.672	1.30e-155
NTRK3	ENSG00000140538.16	0.160	5.330	-2.448	6.09e-215
MFGE8	ENSG00000140545.14	72.473	202.938	-1.473	5.77e-79
ITGAX	ENSG00000140678.16	8.565	97.954	-3.371	6.66e-195
TGFB1I1	ENSG00000140682.18	15.185	67.444	-2.080	1.52e-153
NKD1	ENSG00000140807.5	0.535	6.585	-2.305	2.19e-165
MARVELD3	ENSG00000140832.9	10.540	2.470	1.734	1.54e-175
NLRC5	ENSG00000140853.15	15.060	40.995	-1.387	7.23e-69
KIFC3	ENSG00000140859.15	16.255	56.404	-1.734	5.55e-114
TLDC1	ENSG00000140950.15	10.030	4.510	1.001	6.01e-72
IRF8	ENSG00000140968.10	5.545	19.275	-1.631	2.50e-101
RHOT2	ENSG00000140983.13	49.976	118.352	-1.227	5.59e-51
TCF25	ENSG00000141002.18	68.721	142.982	-1.046	1.06e-93
MYOCD	ENSG00000141052.17	0.060	2.295	-1.636	4.03e-204
KSR1	ENSG00000141068.13	16.065	40.765	-1.291	5.57e-67
SGSM2	ENSG00000141258.12	17.150	58.985	-1.725	2.82e-116
PTRH2	ENSG00000141378.14	30.320	13.230	1.138	2.10e-106
SLC39A6	ENSG00000141424.12	41.400	13.255	1.573	2.74e-148
GALNT1	ENSG00000141429.13	45.526	18.220	1.275	2.03e-106
GATA6	ENSG00000141448.8	1.865	14.990	-2.481	1.96e-237
SLC14A1	ENSG00000141469.16	0.290	2.690	-1.516	3.65e-60
ZMYND15	ENSG00000141497.13	1.425	7.770	-1.855	2.50e-203
MINK1	ENSG00000141503.15	35.005	83.876	-1.237	3.98e-91
SAT2	ENSG00000141504.11	44.030	91.277	-1.035	2.50e-95
PIK3R5	ENSG00000141506.13	2.580	26.635	-2.948	2.43e-240
TP53	ENSG00000141510.15	33.204	15.310	1.068	1.50e-32
ZNF750	ENSG00000141579.6	13.430	1.575	2.486	1.13e-119
MAPK4	ENSG00000141639.11	0.190	1.795	-1.232	8.50e-78
ZCCHC2	ENSG00000141664.9	6.140	14.100	-1.081	3.67e-117
PMAIP1	ENSG00000141682.11	19.325	3.060	2.324	9.79e-152
P3H4	ENSG00000141696.12	20.564	7.135	1.406	6.02e-87
PNMT	ENSG00000141744.3	0.210	4.335	-2.140	1.93e-111
TPGS1	ENSG00000141933.9	3.190	10.745	-1.487	1.91e-91
PPAP2C	ENSG00000141934.9	73.409	6.905	3.235	2.68e-188
TMEM91	ENSG00000142046.14	9.715	22.970	-1.162	1.29e-60
IFITM3	ENSG00000142089.15	599.202	1545.383	-1.365	7.75e-75
SIK1	ENSG00000142178.7	2.675	9.040	-1.450	4.25e-29
TMEM50B	ENSG00000142188.16	19.450	56.596	-1.494	6.05e-145
WTIP	ENSG00000142279.12	4.800	16.965	-1.631	2.73e-107
MYO1F	ENSG00000142347.16	6.705	55.088	-2.864	6.91e-215
NLRP12	ENSG00000142405.21	0.070	1.190	-1.033	2.50e-148
SLC2A5	ENSG00000142583.17	2.985	0.895	1.072	5.28e-65
RERE	ENSG00000142599.17	18.810	42.340	-1.129	9.10e-83
MMEL1	ENSG00000142606.15	1.230	4.910	-1.406	3.22e-53
PRDM16	ENSG00000142611.16	0.450	3.590	-1.662	1.99e-148
PADI3	ENSG00000142619.4	1.700	0.000	1.433	1.53e-66
IL22RA1	ENSG00000142677.3	2.210	0.545	1.055	1.63e-63
EVA1B	ENSG00000142694.6	11.415	36.680	-1.602	4.70e-98
PLK4	ENSG00000142731.10	6.755	1.265	1.776	1.37e-181
MAP3K6	ENSG00000142733.14	24.080	112.360	-2.176	6.28e-128
FCN3	ENSG00000142748.12	3.170	616.496	-7.210	0.00e+0
TINAGL1	ENSG00000142910.15	35.538	115.072	-1.668	7.23e-51
KIF2C	ENSG00000142945.12	17.160	1.030	3.161	7.90e-290
PTPRF	ENSG00000142949.16	128.671	37.100	1.767	1.56e-149
SYPL2	ENSG00000143028.8	0.120	1.420	-1.112	6.37e-200
IGSF3	ENSG00000143061.17	22.765	4.705	2.059	1.16e-120
ITGA10	ENSG00000143127.12	0.370	16.600	-3.683	1.59e-269
RXRG	ENSG00000143171.12	0.190	2.280	-1.463	1.19e-131
UCK2	ENSG00000143179.12	41.704	11.105	1.819	2.07e-147
TMCO1	ENSG00000143183.16	116.311	46.301	1.310	3.95e-150
PVRL4	ENSG00000143217.8	35.310	3.925	2.882	3.45e-182
FCGR2A	ENSG00000143226.13	26.875	78.465	-1.511	9.29e-89
NUF2	ENSG00000143228.12	14.825	0.820	3.120	3.24e-260
RGS5	ENSG00000143248.12	14.240	33.011	-1.158	7.53e-49
PFDN2	ENSG00000143256.4	143.722	69.852	1.030	7.36e-85
MRPL24	ENSG00000143314.12	91.839	43.155	1.072	5.23e-107
ISG20L2	ENSG00000143319.16	31.325	14.530	1.058	5.94e-112
HDGF	ENSG00000143321.18	288.094	134.191	1.097	3.35e-95
XPR1	ENSG00000143324.13	23.920	8.410	1.405	1.05e-116
HMCN1	ENSG00000143341.11	4.245	18.870	-1.922	3.98e-110
RGL1	ENSG00000143344.15	6.235	17.540	-1.358	2.96e-127
RORC	ENSG00000143365.16	1.105	5.800	-1.692	5.69e-69
TUFT1	ENSG00000143367.15	23.155	8.195	1.393	6.23e-90
MCL1	ENSG00000143384.12	122.674	267.890	-1.120	5.69e-97
SELENBP1	ENSG00000143416.20	14.240	159.597	-3.397	4.65e-166
HORMAD1	ENSG00000143452.15	2.990	0.250	1.674	5.71e-55
INTS7	ENSG00000143493.12	14.155	5.825	1.151	3.10e-143
SUSD4	ENSG00000143502.14	21.410	1.820	2.990	6.58e-128
SLC27A3	ENSG00000143554.13	27.605	82.564	-1.547	3.97e-107
S100A7	ENSG00000143556.8	21.350	0.240	4.172	1.77e-104
ILF2	ENSG00000143621.16	207.360	92.270	1.160	2.70e-131
LYST	ENSG00000143669.13	4.940	14.320	-1.367	2.95e-152
LEFTY2	ENSG00000143768.11	0.090	1.430	-1.157	6.22e-127
PARP1	ENSG00000143799.12	75.735	31.004	1.262	3.68e-125
SOX13	ENSG00000143842.14	15.700	47.225	-1.530	7.75e-84
ETNK2	ENSG00000143845.14	13.745	3.515	1.707	3.88e-118
OSR1	ENSG00000143867.6	1.715	14.415	-2.505	5.58e-161
PDIA6	ENSG00000143870.12	256.310	107.820	1.242	3.67e-113
RHOB	ENSG00000143878.9	69.920	307.533	-2.121	1.90e-134
SNRPG	ENSG00000143977.13	206.922	76.077	1.432	2.88e-147
MEIS1	ENSG00000143995.19	8.475	38.100	-2.045	4.09e-138
TMEM177	ENSG00000144120.12	11.750	3.520	1.496	1.60e-169
ZC3H8	ENSG00000144161.12	9.630	3.985	1.092	8.97e-111
GPR17	ENSG00000144230.16	0.080	6.270	-2.751	1.31e-234
POLR2D	ENSG00000144231.10	24.965	8.785	1.408	5.01e-167
SCN1A	ENSG00000144285.15	0.080	2.115	-1.528	2.27e-92
KIAA1715	ENSG00000144320.13	11.265	4.800	1.080	5.89e-106
ZNF385B	ENSG00000144331.18	0.770	17.130	-3.357	1.24e-153
HSPD1	ENSG00000144381.16	246.312	113.783	1.107	2.58e-49
KANSL1L	ENSG00000144445.15	3.710	13.375	-1.610	5.92e-179
FANCD2	ENSG00000144554.10	11.030	4.020	1.261	4.90e-113
STK11IP	ENSG00000144589.20	12.075	26.005	-1.046	1.19e-54
RBMS3	ENSG00000144642.20	1.740	11.645	-2.206	4.72e-228
FAM198A	ENSG00000144649.8	0.480	4.250	-1.827	4.23e-164
ITGA9	ENSG00000144668.11	1.615	6.265	-1.474	1.38e-124
STAC	ENSG00000144681.10	0.735	5.665	-1.942	7.75e-124
IQSEC1	ENSG00000144711.13	8.535	27.899	-1.600	1.26e-174
PTPRG	ENSG00000144724.18	4.525	14.605	-1.498	2.36e-136
LIMD1	ENSG00000144791.9	4.850	17.145	-1.633	1.38e-176
NFKBIZ	ENSG00000144802.11	12.250	54.685	-2.071	4.02e-126
PLA1A	ENSG00000144837.8	1.315	18.390	-3.066	1.74e-238
IGSF11	ENSG00000144847.12	2.505	0.140	1.620	9.08e-110
SRPRB	ENSG00000144867.11	65.874	21.590	1.566	3.02e-130
TMEM108	ENSG00000144868.13	1.710	10.535	-2.090	2.44e-103
TRPC1	ENSG00000144935.14	1.350	3.785	-1.026	2.00e-74
NICN1	ENSG00000145029.11	4.410	17.935	-1.807	3.06e-211
UCN2	ENSG00000145040.3	1.870	0.140	1.332	8.56e-85
ILDR1	ENSG00000145103.12	5.610	1.850	1.214	6.50e-78
SLIT2	ENSG00000145147.19	2.880	32.675	-3.118	3.49e-217
OCIAD2	ENSG00000145247.11	119.639	28.400	2.037	1.28e-194
PLAC8	ENSG00000145287.10	13.325	43.969	-1.650	5.22e-32
USP53	ENSG00000145390.11	6.400	33.115	-2.205	1.39e-179
SFRP2	ENSG00000145423.4	83.704	30.079	1.446	1.06e-24
ROPN1L	ENSG00000145491.11	0.570	3.360	-1.474	2.69e-61
NDUFS6	ENSG00000145494.11	98.070	39.871	1.277	2.77e-127
NKD2	ENSG00000145506.13	10.435	70.370	-2.642	2.46e-137
SRD5A1	ENSG00000145545.11	13.680	2.660	2.004	5.62e-182
FAM105A	ENSG00000145569.5	3.600	25.290	-2.515	9.13e-203
RPL37	ENSG00000145592.13	2824.147	1306.009	1.112	4.41e-101
SKP2	ENSG00000145604.15	21.201	4.310	2.064	1.16e-178
PIK3R1	ENSG00000145675.14	10.315	30.605	-1.482	1.46e-67
IQGAP2	ENSG00000145703.15	3.895	11.985	-1.408	1.65e-110
RNF145	ENSG00000145860.11	52.019	105.287	-1.003	3.94e-73
TENM2	ENSG00000145934.15	3.395	0.270	1.791	1.16e-65
KCNMB1	ENSG00000145936.8	0.680	3.350	-1.373	4.89e-138
TBC1D7	ENSG00000145979.17	27.905	11.465	1.213	1.90e-130
GFOD1	ENSG00000145990.10	3.355	9.310	-1.243	8.60e-84
FAM193B	ENSG00000146067.15	20.105	114.677	-2.454	1.07e-134
TNFRSF21	ENSG00000146072.6	47.700	16.305	1.493	1.96e-88
PRIM2	ENSG00000146143.17	12.755	3.490	1.615	2.56e-203
HMGCLL1	ENSG00000146151.12	0.170	1.805	-1.261	1.53e-131
FGD2	ENSG00000146192.14	3.115	26.930	-2.763	4.44e-202
TPBG	ENSG00000146242.8	24.379	7.020	1.662	6.71e-124
MMS22L	ENSG00000146263.11	5.935	1.465	1.492	4.83e-160
FAXC	ENSG00000146267.11	10.700	2.705	1.659	1.25e-87
SCML4	ENSG00000146285.13	0.390	2.020	-1.119	1.97e-92
RSPO3	ENSG00000146374.13	0.745	4.030	-1.527	9.36e-89
MTFR2	ENSG00000146410.11	5.915	1.020	1.775	1.60e-203
VIP	ENSG00000146469.12	0.040	2.465	-1.736	1.02e-195
SLC22A3	ENSG00000146477.5	1.460	10.995	-2.286	1.63e-64
IGFBP3	ENSG00000146674.14	186.553	33.164	2.457	8.94e-99
MDH2	ENSG00000146701.11	178.390	83.844	1.080	4.03e-114
PSPH	ENSG00000146733.13	18.295	4.020	1.942	6.20e-149
GIGYF1	ENSG00000146830.9	11.190	26.020	-1.148	6.24e-55
TMEM140	ENSG00000146859.6	13.980	29.170	-1.010	3.77e-97
NCAPG2	ENSG00000146918.19	14.115	3.185	1.853	3.05e-170
SH3KBP1	ENSG00000147010.17	10.585	24.045	-1.112	6.86e-76
TMEM47	ENSG00000147027.3	3.770	17.785	-1.977	2.41e-147
SLC16A2	ENSG00000147100.9	2.905	8.945	-1.349	2.29e-77
OGT	ENSG00000147162.13	24.685	104.003	-2.031	3.51e-124
NXF3	ENSG00000147206.16	0.210	8.385	-2.955	1.27e-217
GPC3	ENSG00000147257.13	28.564	121.397	-2.050	2.39e-44
MAGEA4	ENSG00000147381.11	8.380	0.000	3.230	1.74e-76
ZNF185	ENSG00000147394.18	17.590	7.330	1.158	9.66e-61
HMBOX1	ENSG00000147421.17	6.505	27.870	-1.944	3.71e-185
GNRH1	ENSG00000147437.9	0.585	4.215	-1.718	1.15e-142
SLC25A37	ENSG00000147454.13	12.400	56.480	-2.101	2.17e-137
RGS20	ENSG00000147509.13	2.600	0.140	1.659	5.81e-105
TACC1	ENSG00000147526.19	17.775	82.951	-2.161	5.99e-154
GINS4	ENSG00000147536.11	6.390	0.910	1.952	2.27e-175
SYBU	ENSG00000147642.16	3.240	10.165	-1.397	1.08e-56
LRP12	ENSG00000147650.11	11.015	3.900	1.294	4.86e-71
RSPO2	ENSG00000147655.10	0.120	3.940	-2.141	4.94e-207
MAL2	ENSG00000147676.13	102.842	46.375	1.132	3.37e-48
NDUFB9	ENSG00000147684.7	336.496	146.580	1.193	1.28e-126
FAM83A	ENSG00000147689.16	13.545	0.180	3.624	1.28e-119
GSDMC	ENSG00000147697.8	8.154	0.420	2.689	3.29e-129
SLC39A4	ENSG00000147804.9	59.020	26.715	1.115	8.65e-76
NFIB	ENSG00000147862.14	6.405	15.190	-1.129	1.49e-66
PLIN2	ENSG00000147872.9	29.055	116.913	-1.972	3.06e-111
NTRK2	ENSG00000148053.15	30.316	2.504	3.160	1.04e-52
SHC3	ENSG00000148082.9	0.460	2.865	-1.405	1.54e-134
SNX30	ENSG00000148158.16	4.420	14.944	-1.557	3.00e-113
STOM	ENSG00000148175.12	93.389	280.400	-1.576	4.62e-130
POLE3	ENSG00000148229.12	57.265	26.525	1.082	4.64e-121
GBGT1	ENSG00000148288.11	4.230	12.240	-1.340	8.67e-106
SLC25A25	ENSG00000148339.12	10.029	26.695	-1.328	1.68e-80
SH3GLB2	ENSG00000148341.17	38.289	81.925	-1.078	3.15e-73
FAM73B	ENSG00000148343.18	8.265	22.079	-1.317	1.54e-83
PTGES	ENSG00000148344.10	18.060	5.105	1.643	2.51e-58
HMCN2	ENSG00000148357.16	0.250	3.260	-1.769	1.05e-163
NOTCH1	ENSG00000148400.9	10.675	24.380	-1.120	5.23e-52
NACC2	ENSG00000148411.7	3.640	9.570	-1.188	3.12e-121
ZEB1	ENSG00000148516.21	3.530	17.765	-2.050	2.03e-197
FAM13C	ENSG00000148541.12	1.090	6.535	-1.850	1.20e-169
MKI67	ENSG00000148773.12	17.405	1.305	2.997	2.43e-218
ITPRIP	ENSG00000148841.15	13.545	35.015	-1.308	1.93e-98
SCGB1A1	ENSG00000149021.6	28.115	384.475	-3.727	2.79e-45
SYT8	ENSG00000149043.16	2.035	6.495	-1.304	2.24e-20
SERPING1	ENSG00000149131.15	159.857	903.292	-2.491	3.98e-175
SLC43A1	ENSG00000149150.8	3.160	11.950	-1.638	1.50e-137
SESN3	ENSG00000149212.10	21.994	7.640	1.412	3.77e-52
TENM4	ENSG00000149256.14	3.885	0.460	1.742	3.10e-108
PAK1	ENSG00000149269.9	62.111	18.345	1.706	4.70e-144
NCAM1	ENSG00000149294.16	0.400	2.015	-1.107	1.26e-28
GRIK4	ENSG00000149403.11	0.080	1.330	-1.109	4.13e-170
ST14	ENSG00000149418.10	82.839	22.930	1.809	6.02e-152
GGTLC1	ENSG00000149435.12	0.210	32.925	-4.809	2.74e-294
INCENP	ENSG00000149503.12	17.670	5.325	1.562	1.50e-155
PLCH2	ENSG00000149527.17	8.610	2.765	1.352	9.71e-38
MS4A2	ENSG00000149534.8	0.750	4.905	-1.755	5.85e-125
FEZ1	ENSG00000149557.12	14.155	35.215	-1.257	4.70e-57
ESAM	ENSG00000149564.11	12.720	163.896	-3.587	6.14e-310
SIDT2	ENSG00000149577.15	15.765	59.075	-1.841	8.31e-208
TAGLN	ENSG00000149591.16	223.216	989.666	-2.144	8.51e-111
JPH2	ENSG00000149596.6	0.330	4.505	-2.049	1.94e-204
FERMT3	ENSG00000149781.12	15.530	53.334	-1.717	1.70e-125
TAOK2	ENSG00000149930.17	15.850	47.985	-1.540	2.84e-147
HMGA2	ENSG00000149948.13	6.185	0.080	2.734	2.69e-119
MMP3	ENSG00000149968.11	2.850	0.185	1.700	5.33e-69
KLRF1	ENSG00000150045.11	0.440	2.855	-1.421	1.03e-119
FXYD4	ENSG00000150201.14	0.100	1.800	-1.348	1.67e-115
PCDH15	ENSG00000150275.17	0.060	1.320	-1.130	3.49e-120
LATS2	ENSG00000150457.8	3.920	13.140	-1.523	1.63e-169
HNMT	ENSG00000150540.13	18.160	37.475	-1.006	7.21e-53
LYPD1	ENSG00000150551.10	2.830	0.850	1.050	8.69e-49
LYPD6B	ENSG00000150556.16	12.215	1.160	2.613	7.16e-109
GPM6A	ENSG00000150625.16	0.210	7.250	-2.769	1.66e-217
VEGFC	ENSG00000150630.3	2.905	12.315	-1.770	4.21e-106
RGS18	ENSG00000150681.9	0.790	4.380	-1.588	1.24e-147
FAM173B	ENSG00000150756.13	13.235	5.465	1.139	1.42e-112
TIMM8B	ENSG00000150779.11	67.794	33.330	1.003	2.34e-91
FOXO1	ENSG00000150907.6	7.400	16.065	-1.023	2.01e-89
RILPL2	ENSG00000150977.10	3.950	11.330	-1.317	4.53e-189
ITPR1	ENSG00000150995.17	5.970	23.640	-1.822	4.85e-178
PRSS53	ENSG00000151006.7	0.480	2.605	-1.284	2.16e-86
SLC7A11	ENSG00000151012.13	3.785	1.100	1.188	1.08e-40
TWF1	ENSG00000151239.13	63.440	21.690	1.506	3.39e-178
MAGI1	ENSG00000151276.23	2.925	11.035	-1.616	5.70e-152
MBIP	ENSG00000151332.18	18.565	49.199	-1.359	3.03e-88
KCTD14	ENSG00000151364.15	2.515	7.185	-1.219	5.03e-36
ME3	ENSG00000151376.16	2.050	15.045	-2.395	7.63e-175
FRMD4A	ENSG00000151474.19	8.055	26.400	-1.597	9.32e-96
FAM160B1	ENSG00000151553.14	5.205	11.550	-1.016	1.90e-131
NR3C2	ENSG00000151623.14	0.810	4.525	-1.610	2.08e-139
VENTX	ENSG00000151650.7	0.235	3.615	-1.902	2.07e-203
INPP1	ENSG00000151689.12	14.260	34.391	-1.214	2.38e-51
FLI1	ENSG00000151702.16	5.460	33.216	-2.405	8.07e-206
WWC2	ENSG00000151718.15	3.165	18.699	-2.242	1.60e-216
SERP2	ENSG00000151778.10	1.745	4.910	-1.106	1.89e-85
ZNF385D	ENSG00000151789.9	0.480	1.970	-1.005	1.25e-71
TDO2	ENSG00000151790.8	4.935	1.720	1.126	1.51e-27
PARP8	ENSG00000151883.16	8.025	20.614	-1.260	4.35e-111
GFRA1	ENSG00000151892.14	0.215	2.410	-1.489	2.39e-114
GLT1D1	ENSG00000151948.11	0.310	2.410	-1.380	1.66e-83
SCHIP1	ENSG00000151967.18	1.560	5.215	-1.280	1.40e-68
TMEM163	ENSG00000152128.13	2.940	14.570	-1.982	1.11e-38
HSPB8	ENSG00000152137.6	10.950	69.252	-2.556	3.96e-142
GEMIN6	ENSG00000152147.10	12.965	5.260	1.158	8.17e-130
TMEM178A	ENSG00000152154.10	0.725	5.900	-2.000	1.35e-117
SETBP1	ENSG00000152217.16	2.160	5.895	-1.126	1.60e-86
EPG5	ENSG00000152223.12	5.210	12.865	-1.159	7.06e-111
SPC25	ENSG00000152253.8	9.955	0.690	2.696	6.14e-248
PDK1	ENSG00000152256.13	14.370	4.025	1.613	7.47e-154
PDE3B	ENSG00000152270.8	2.395	8.005	-1.407	1.40e-136
GUCY1A2	ENSG00000152402.10	0.465	3.360	-1.573	6.36e-175
SUV39H2	ENSG00000152455.15	8.550	2.100	1.623	4.76e-193
USP12	ENSG00000152484.13	9.220	20.730	-1.088	1.01e-121
ZFP36L2	ENSG00000152518.6	40.671	118.796	-1.523	1.19e-113
PLEKHH2	ENSG00000152527.13	1.765	34.165	-3.669	1.05e-236
TMEM123	ENSG00000152558.14	166.219	67.311	1.292	3.56e-94
IGSF10	ENSG00000152580.8	1.880	28.120	-3.338	9.28e-206
SPARCL1	ENSG00000152583.12	54.268	506.142	-3.198	1.16e-169
GPD1L	ENSG00000152642.10	7.000	21.560	-1.496	1.53e-119
GJA1	ENSG00000152661.7	117.282	52.279	1.151	3.40e-27
PELO	ENSG00000152684.10	9.570	20.360	-1.015	5.91e-114
RASGRP3	ENSG00000152689.17	3.130	7.640	-1.065	8.05e-84
TCTEX1D1	ENSG00000152760.9	0.320	4.425	-2.039	4.83e-153
SLC16A12	ENSG00000152779.13	0.070	2.035	-1.504	7.35e-163
HHEX	ENSG00000152804.10	4.775	14.630	-1.436	1.01e-62
UTRN	ENSG00000152818.18	10.830	28.834	-1.335	1.19e-89
ZNF117	ENSG00000152926.14	3.215	10.695	-1.472	1.53e-67
PLOD2	ENSG00000152952.11	38.439	13.645	1.429	1.02e-71
SYCP2L	ENSG00000153157.12	0.440	1.960	-1.039	6.03e-41
RASSF3	ENSG00000153179.11	9.810	25.875	-1.314	2.29e-131
NR4A2	ENSG00000153234.13	3.830	12.820	-1.517	6.56e-63
SLC25A27	ENSG00000153291.15	1.820	25.575	-3.236	4.31e-174
LPCAT1	ENSG00000153395.9	38.614	173.290	-2.137	8.03e-96
PLEKHG4B	ENSG00000153404.13	4.420	0.650	1.716	5.96e-72
PTPRD	ENSG00000153707.15	1.045	5.495	-1.667	7.40e-45
LURAP1L	ENSG00000153714.5	9.500	25.780	-1.351	2.35e-86
TMPRSS11D	ENSG00000153802.11	4.975	0.020	2.550	7.77e-88
PID1	ENSG00000153823.18	3.185	21.120	-2.402	9.30e-177
MCOLN2	ENSG00000153898.12	2.455	10.205	-1.697	6.94e-120
LGI4	ENSG00000153902.13	0.790	15.835	-3.233	1.03e-251
SREK1	ENSG00000153914.15	17.515	36.885	-1.033	1.60e-81
MSI2	ENSG00000153944.10	26.240	9.530	1.371	1.85e-99
GRAP	ENSG00000154016.13	2.040	7.440	-1.473	5.06e-143
IMPACT	ENSG00000154059.9	17.745	7.850	1.083	3.00e-91
THY1	ENSG00000154096.13	61.697	27.075	1.159	3.11e-27
ROBO4	ENSG00000154133.14	3.210	57.615	-3.799	1.06e-317
ROBO3	ENSG00000154134.14	4.695	20.285	-1.902	2.28e-76
TBRG1	ENSG00000154144.12	16.555	40.190	-1.230	3.69e-135
NRGN	ENSG00000154146.12	6.055	63.146	-3.185	1.26e-159
FAM134B	ENSG00000154153.13	4.125	9.570	-1.044	7.00e-62
UCHL1	ENSG00000154277.12	113.692	11.875	3.155	3.29e-69
TNIK	ENSG00000154310.16	3.425	11.245	-1.468	2.50e-92
FAM167A	ENSG00000154319.14	0.950	6.655	-1.973	4.86e-112
PGM5	ENSG00000154330.12	0.770	13.770	-3.061	2.23e-283
OBSCN	ENSG00000154358.19	5.350	14.060	-1.246	7.85e-48
MAGED4	ENSG00000154545.16	8.540	0.645	2.536	4.29e-112
PDLIM3	ENSG00000154553.13	16.165	56.773	-1.751	5.51e-102
SORBS2	ENSG00000154556.17	2.590	19.770	-2.532	3.24e-167
NCAM2	ENSG00000154654.14	0.620	2.785	-1.224	1.40e-83
PDE1C	ENSG00000154678.16	0.230	5.210	-2.336	5.13e-285
JAM2	ENSG00000154721.14	2.515	23.585	-2.806	3.12e-246
XPC	ENSG00000154767.14	10.415	27.730	-1.332	3.92e-155
FGD5	ENSG00000154783.10	3.295	26.860	-2.697	1.85e-246
FLCN	ENSG00000154803.12	13.255	44.730	-1.682	1.87e-149
PLCL2	ENSG00000154822.15	1.460	5.005	-1.287	3.19e-142
SKA1	ENSG00000154839.9	5.845	0.255	2.447	2.99e-252
PIEZO2	ENSG00000154864.11	0.940	7.545	-2.139	7.30e-165
RAB6B	ENSG00000154917.10	8.350	2.460	1.434	3.36e-48
PROM2	ENSG00000155066.15	30.720	2.420	3.213	2.30e-156
PTPRN2	ENSG00000155093.17	0.845	3.595	-1.316	1.28e-108
SLC25A28	ENSG00000155287.10	37.699	78.855	-1.045	2.49e-77
SAMSN1	ENSG00000155307.17	6.025	23.430	-1.798	3.11e-120
SLC16A1	ENSG00000155380.11	29.504	4.450	2.485	5.39e-166
NIFK	ENSG00000155438.11	59.354	22.105	1.385	7.99e-146
SLC7A7	ENSG00000155465.18	10.965	47.300	-2.013	1.97e-128
GRIA1	ENSG00000155511.17	0.080	7.830	-3.031	2.40e-263
XAGE2	ENSG00000155622.6	0.150	1.380	-1.049	1.32e-32
VSIG4	ENSG00000155659.14	14.360	125.447	-3.041	7.51e-125
PDIA4	ENSG00000155660.10	171.711	52.709	1.685	9.20e-135
TMEM237	ENSG00000155755.18	28.335	9.780	1.444	1.19e-134
FZD7	ENSG00000155760.2	14.480	5.740	1.200	1.18e-45
RAET1L	ENSG00000155918.7	8.865	0.000	3.302	2.39e-139
SLA	ENSG00000155926.13	6.465	33.954	-2.227	8.88e-149
MICU3	ENSG00000155970.11	0.870	3.510	-1.270	4.77e-150
GRIP1	ENSG00000155974.11	2.050	0.395	1.129	1.37e-82
GNA14	ENSG00000156049.6	0.710	7.940	-2.386	1.40e-204
GNAQ	ENSG00000156052.10	10.560	26.099	-1.229	5.36e-148
WIF1	ENSG00000156076.9	0.910	25.065	-3.770	1.40e-77
MAP3K7CL	ENSG00000156265.15	3.515	8.240	-1.033	8.06e-74
TSPAN7	ENSG00000156298.12	23.430	66.474	-1.466	7.42e-32
RPGR	ENSG00000156313.12	4.375	26.385	-2.349	7.09e-208
TDRD9	ENSG00000156414.18	0.210	2.470	-1.520	8.81e-112
FGF18	ENSG00000156427.7	0.220	2.165	-1.375	2.82e-146
PCDH1	ENSG00000156453.13	8.260	31.649	-1.818	1.16e-106
MTERF3	ENSG00000156469.8	24.180	11.025	1.066	7.02e-115
PTDSS1	ENSG00000156471.12	123.506	42.805	1.507	2.42e-127
WDYHV1	ENSG00000156795.6	19.975	9.150	1.047	7.45e-126
FBXO32	ENSG00000156804.7	29.265	7.190	1.886	1.12e-106
FRRS1	ENSG00000156869.12	8.460	2.000	1.657	2.57e-116
SLC6A1	ENSG00000157103.10	0.290	1.615	-1.019	1.88e-107
FCHO2	ENSG00000157107.13	6.475	17.265	-1.289	5.88e-152
RBPMS	ENSG00000157110.15	25.235	149.644	-2.522	7.20e-224
TMEM171	ENSG00000157111.12	2.650	0.260	1.534	1.58e-125
TIMP4	ENSG00000157150.4	0.460	3.955	-1.763	1.57e-87
SYN2	ENSG00000157152.16	0.380	2.065	-1.151	1.48e-43
LRP8	ENSG00000157193.14	9.620	3.360	1.284	1.57e-65
RP11-66N24.4	ENSG00000157306.14	1.430	6.600	-1.645	1.05e-115
FUK	ENSG00000157353.16	6.505	14.075	-1.006	7.79e-80
KIT	ENSG00000157404.15	2.180	11.190	-1.939	2.49e-61
ZNF19	ENSG00000157429.15	1.470	3.980	-1.012	7.78e-114
TSC22D3	ENSG00000157514.16	64.030	412.413	-2.668	5.28e-164
ERG	ENSG00000157554.18	3.280	19.720	-2.275	2.15e-208
ETS2	ENSG00000157557.11	54.579	129.238	-1.229	6.50e-72
TSPAN18	ENSG00000157570.11	6.675	16.810	-1.214	1.75e-24
PALM2-AKAP2	ENSG00000157654.17	0.790	3.040	-1.174	8.08e-72
SNX22	ENSG00000157734.13	1.165	9.415	-2.266	5.48e-200
SLC34A2	ENSG00000157765.11	27.426	461.775	-4.025	4.62e-84
PSMG3	ENSG00000157778.8	69.675	25.201	1.432	6.51e-166
WDR19	ENSG00000157796.17	5.875	30.415	-2.192	3.79e-179
